CreditNoteDetailID, CreditNote Detail ID, int, ,, , Primary_Auto, , 100, false, false, 
CreditNoteRequest, Credit Note Request, String, CreditNoteRequest,, OneToOne, Unique_Group, , 100, false, false, 
InvoiceDetails, Invoice Details, String, InvoiceDetails,, OneToOne, Unique_Group, Display, 100, false, false, 
BaseQuantity, Base Quantity, int, ,, , , , 100, false, true, 
UnitMeasure, Unit Measure, String, ,, , , , 100, false, true, 
MeasureSize, Measure Size, int, ,, , , , 100, false, true, 
Quantity, Quantity, int, ,, , , , 100, false, true, 
UnitPrice, Unit Price, double, ,, , , , 100, false, true, 
Amount, Amount, double, ,, , , , 100, false, true, 
Notes, Notes, String, ,, , , , 100, false, true, 

