JournalEntryDetailID, Journal Entry Detail ID, int, ,, , Primary_Auto, , 100, false, false, 
AccountGroup, Account Group, String, AccountGroups,, , Unique_Group, None, 100, true, false, 2
JournalEntry, Journal Entry, String, JournalEntry,, OneToOne, Unique_Group, , 100, false, false, 
AccountID, Account ID, String, ,, , Unique_Group, , 100, false, false, 
AccountName, Account Name, String, ,, , , Display, 100, false, false, 
AccountType, Account Type, String, AccountTypes,, , , , 20, true, true, 2
AccountAction, Account Action, String, AccountActions,, , , , 10, true, true, 2
Quantity, Quantity, int, ,, , , , 100, false, true, 
UnitPrice, Unit Price, double, ,, , , , 100, false, true, 
Amount, Amount, double, ,, , , , 100, false, true, 
Notes, Notes, String, ,, , , , 100, false, true, 
Location, Location, String, LookupData,, OneToOne, Foreign, , 100, false, true, 
